condition,description
blepharospasm,"Blepharospasm is a neurological disorder characterized by intermittent, involuntary spasms and contractions of the orbicularis oculi (eyelid) muscles around both eyes. These result in abnormal twitching or blinking, and in the extreme, sustained eyelid closure resulting in functional blindness."
sarcoidosis,"Sarcoidosis is a disease involving abnormal collections of inflammatory cells that form lumps known as granulomata. The disease usually begins in the lungs, skin, or lymph nodes. Less commonly affected are the eyes, liver, heart, and brain, though any organ can be affected. The signs and symptoms depend on the organ involved. Often, no symptoms or only mild symptoms are seen. When it affects the lungs, wheezing, coughing, shortness of breath, or chest pain may occur. Some may have Löfgren syndrome with fever, enlarged hilar lymph nodes, arthritis, and a rash known as erythema nodosum."
metastatic cancer,"Metastasis is a pathogenic agent's spreading from an initial or primary site to a different or secondary site within the host's body; the term is typically used when referring to metastasis by a cancerous tumor. The newly pathological sites, then, are metastases (mets). It is generally distinguished from cancer invasion, which is the direct extension and penetration by cancer cells into neighboring tissues."
trigger finger (finger disorder),"Trigger finger, also known as stenosing tenosynovitis, is a disorder characterized by catching or locking of the involved finger in full or near full flexion, typically with force. There may be tenderness in the palm of the hand near the last skin crease. The name ""trigger finger"" may refer to the motion of ""catching"" like a trigger on a gun. The ring finger and thumb are most commonly affected."
stye,"A stye, also known as a hordeolum, is a bacterial infection of an oil gland in the eyelid. This results in a red tender bump at the edge of the eyelid. The outside or the inside of the eyelid can be affected."
hemochromatosis,"Iron overload is the abnormal and increased accumulation of total iron in the body, leading to organ damage. The primary mechanism of organ damage is oxidative stress, as elevated intracellular iron levels increase free radical formation via the Fenton reaction. Iron overload is often primary but may also be secondary to repeated blood transfusions. Iron deposition most commonly occurs in the liver, pancreas, skin, heart, and joints. People with iron overload classically present with the triad of liver cirrhosis, secondary diabetes mellitus, and bronze skin. However, due to earlier detection nowadays, symptoms are often limited to general chronic malaise, arthralgia, and hepatomegaly."
osteochondroma,"Osteochondroma is the most common benign tumor of bone.
The tumors take the form of cartilage-capped bony projections or outgrowth on the surface of bones (exostoses). It is characterized as a type of overgrowth that can occur in any bone where cartilage forms bone. Tumors most commonly affect long bones around the knee and in the forearm. Additionally, flat bones such as the pelvis and scapula may be affected."
cushing syndrome,"Cushing's syndrome is a collection of signs and symptoms due to prolonged exposure to glucocorticoids such as cortisol. Signs and symptoms may include high blood pressure, abdominal obesity but with thin arms and legs, reddish stretch marks, a round red face due to facial plethora, a fat lump between the shoulders, weak muscles, weak bones, acne, and fragile skin that heals poorly. Women may have more hair and irregular menstruation or loss of menses, with the exact mechanisms of why still unknown. Occasionally there may be changes in mood, headaches, and a chronic feeling of tiredness."
typhoid fever,"Typhoid fever, also known simply as typhoid, is a disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experience confusion. Without treatment, symptoms may last weeks or months. Diarrhea may be severe, but is uncommon. Other people may carry it without being affected, but are still contagious. Typhoid fever is a type of enteric fever, along with paratyphoid fever. Salmonella enterica Typhi is believed to infect and replicate only within humans."
vitreous degeneration,"The vitreous body is the clear gel that fills the space between the lens and the retina of the eyeball in humans and other vertebrates. It is often referred to as the vitreous humor, from Latin meaning liquid, or simply ""the vitreous"". Vitreous fluid or ""liquid vitreous"" is the liquid component of the vitreous gel, found after a vitreous detachment. It is not to be confused with the aqueous humor, the other fluid in the eye that is found between the cornea and lens."
atrophic skin condition,"A skin condition, also known as cutaneous condition, is any medical condition that affects the integumentary system—the organ system that encloses the body and includes skin, nails, and related muscle and glands. The major function of this system is as a barrier against the external environment."
aspergillosis,"Aspergillosis is a fungal infection of usually the lungs, caused by the genus Aspergillus, a common mould that is breathed in frequently from the air, but does not usually affect most people. It generally occurs in people with lung diseases such as asthma, cystic fibrosis or tuberculosis, or those who are immunocompromised such as those who have had a stem cell or organ transplant or those who take medications such as steroids and some cancer treatments which suppress the immune system. Rarely, it can affect skin."
uterine atony,"Uterine atony is the failure of the uterus to contract adequately following delivery. Contraction of the uterine muscles during labor compresses the blood vessels and slows flow, which helps prevent hemorrhage and facilitates coagulation. Therefore, a lack of uterine muscle contraction can lead to an acute hemorrhage, as the vasculature is not being sufficiently compressed. Uterine atony is the most common cause of postpartum hemorrhage, which is an emergency and potential cause of fatality. Across the globe, postpartum hemorrhage is among the top five causes of maternal death. Recognition of the warning signs of uterine atony in the setting of extensive postpartum bleeding should initiate interventions aimed at regaining stable uterine contraction."
trichinosis,"Trichinosis, also known as trichinellosis, is a parasitic disease caused by roundworms of the Trichinella genus. During the initial infection, invasion of the intestines can result in diarrhea, abdominal pain, and vomiting. Migration of larvae to muscle, which occurs about a week after being infected, can cause swelling of the face, inflammation of the whites of the eyes, fever, muscle pains, and a rash. Minor infection may be without symptoms. Complications may include inflammation of heart muscle, central nervous system involvement, and inflammation of the lungs."
whooping cough,"Whooping cough, also known as pertussis or the 100-day cough, is a highly contagious, vaccine-preventable bacterial disease. Initial symptoms are usually similar to those of the common cold with a runny nose, fever, and mild cough, but these are followed by two or three months of severe coughing fits. Following a fit of coughing, a high-pitched whoop sound or gasp may occur as the person breathes in. The violent coughing may last for 10 or more weeks, hence the phrase ""100-day cough"". The cough may be so hard that it causes vomiting, rib fractures, and fatigue. Children less than one year old may have little or no cough and instead have periods when they cannot breathe. The incubation period is usually seven to ten days. Disease may occur in those who have been vaccinated, but symptoms are typically milder."
open wound of the lip,"A wound is any disruption of or damage to living tissue, such as skin, mucous membranes, or organs. Wounds can either be the sudden result of direct trauma, or can develop slowly over time due to underlying disease processes such as diabetes mellitus, venous/arterial insufficiency, or immunologic disease. Wounds can vary greatly in their appearance depending on wound location, injury mechanism, depth of injury, timing of onset, and wound sterility, among other factors. Treatment strategies for wounds will vary based on the classification of the wound, therefore it is essential that wounds be thoroughly evaluated by a healthcare professional for proper management. In normal physiology, all wounds will undergo a series of steps collectively known as the wound healing process, which include hemostasis, inflammation, proliferation, and tissue remodeling. Age, tissue oxygenation, stress, underlying medical conditions, and certain medications are just a few of the many factors known to affect the rate of wound healing."
subacute thyroiditis,"Subacute thyroiditis refers to a temporal classification of the different forms of thyroiditis based on onset of symptoms. The temporal classification of thyroiditis includes presentation of symptoms in an acute, subacute, or chronic manner. There are also other classification systems for thyroiditis based on factors such as clinical symptoms and underlying etiology."
oral mucosal lesion,"Oral leukoplakia is a potentially malignant disorder affecting the oral mucosa. It is defined as ""essentially an oral mucosal white/gray lesion that cannot be considered as any other definable lesion."" Oral leukoplakia is a gray patch or plaque that develops in the oral cavity and is strongly associated with smoking. Leukoplakia is a firmly attached white patch on a mucous membrane which is associated with increased risk of cancer. The edges of the lesion are typically abrupt and the lesion changes with time. Advanced forms may develop red patches. There are generally no other symptoms. It usually occurs within the mouth, although sometimes mucosa in other parts of the gastrointestinal tract, urinary tract, or genitals may be affected."
open wound due to trauma,"A gunshot wound (GSW) is a penetrating injury caused by a projectile shot from a gun. Damage may include bleeding, bone fractures, organ damage, wound infection, and loss of the ability to move part of the body. Damage depends on the part of the body hit, the path the bullet follows through the body, and the type and speed of the bullet. In severe cases, although not uncommon, the injury is fatal. Long-term complications can include bowel obstruction, failure to thrive, neurogenic bladder and paralysis, recurrent cardiorespiratory distress and pneumothorax, hypoxic brain injury leading to early dementia, amputations, chronic pain and pain with light touch (hyperalgesia), deep venous thrombosis with pulmonary embolus, limb swelling and debility, and lead poisoning."
intracerebral hemorrhage,"Intracerebral hemorrhage (ICH), also known as hemorrhagic stroke, is a sudden bleeding into the tissues of the brain, into its ventricles, or into both. An ICH is a type of bleeding within the skull and one kind of stroke. Symptoms can vary dramatically depending on the severity, acuity, and location (anatomically) but can include headache, one-sided weakness, numbness, tingling, or paralysis, speech problems, vision or hearing problems, memory loss, attention problems, coordination problems, balance problems, dizziness or lightheadedness or vertigo, nausea/vomiting, seizures, decreased level of consciousness or total loss of consciousness, neck stiffness, and fever."
alzheimer disease,"Alzheimer's disease (AD) is a neurodegenerative disease that usually starts slowly and progressively worsens. It is the cause of 60–70% of cases of dementia. The most common early symptom is difficulty in remembering recent events. As the disease advances, symptoms can include problems with language, disorientation, mood swings, loss of motivation, self-neglect, and behavioral issues. As a person's condition declines, they often withdraw from family and society. Gradually, bodily functions are lost, ultimately leading to death. Although the speed of progression can vary, the average life expectancy following diagnosis is three to twelve years."
vaginismus,Vaginismus is a condition in which involuntary muscle spasm interferes with vaginal intercourse or other penetration of the vagina. This often results in pain with attempts at sex. Often it begins when vaginal intercourse is first attempted. Vaginismus may be considered an older term for pelvic floor dysfunction.
systemic lupus erythematosis (sle),"Lupus, formally called systemic lupus erythematosus (SLE), is an autoimmune disease in which the body's immune system mistakenly attacks healthy tissue in many parts of the body. Symptoms vary among people and may be mild to severe. Common symptoms include painful and swollen joints, fever, chest pain, hair loss, mouth ulcers, swollen lymph nodes, feeling tired, and a red rash which is most commonly on the face. Often there are periods of illness, called flares, and periods of remission during which there are few symptoms. Children up to 18 years old develop a more severe form of SLE termed childhood-onset systemic lupus erythematosus."
premature ovarian failure,"Primary ovarian insufficiency (POI), also called premature ovarian insufficiency and premature ovarian failure, is the partial or total loss of reproductive and hormonal function of the ovaries before age 40 because of follicular dysfunction or early loss of eggs. POI can be seen as part of a continuum of changes leading to menopause that differ from age-appropriate menopause in the age of onset, degree of symptoms, and sporadic return to normal ovarian function. POI affects approximately 1 in 10,000 women under age 20, 1 in 1,000 women under age 30, and 1 in 100 of those under age 40. A medical triad for the diagnosis is amenorrhea, hypergonadotropism, and hypoestrogenism."
thoracic outlet syndrome,"Thoracic outlet syndrome (TOS) is a condition in which there is compression of the nerves, arteries, or veins in the superior thoracic aperture, the passageway from the lower neck to the armpit, also known as the thoracic outlet. There are three main types: neurogenic, venous, and arterial. The neurogenic type is the most common and presents with pain, weakness, paraesthesia, and occasionally loss of muscle at the base of the thumb. The venous type results in swelling, pain, and possibly a bluish coloration of the arm. The arterial type results in pain, coldness, and pallor of the arm."
ganglion cyst,"A ganglion cyst is a fluid-filled bump associated with a joint or tendon sheath. It most often occurs at the back of the wrist, followed by the front of the wrist."
dislocation of the knee,"A knee dislocation is an injury in which there is disruption of the knee joint between the tibia and the femur. Symptoms include pain and instability of the knee. Complications may include injury to an artery, most commonly the popliteal artery behind the knee, or compartment syndrome."
crohn disease,"Crohn's disease is a type of inflammatory bowel disease (IBD) that may affect any segment of the gastrointestinal tract. Symptoms often include abdominal pain, diarrhea, fever, abdominal distension, and weight loss. Complications outside of the gastrointestinal tract may include anemia, skin rashes, arthritis, inflammation of the eye, and fatigue. The skin rashes may be due to infections, as well as pyoderma gangrenosum or erythema nodosum. Bowel obstruction may occur as a complication of chronic inflammation, and those with the disease are at greater risk of colon cancer and small bowel cancer."
postoperative infection,"Hysterectomy is the surgical removal of the uterus and cervix. Supracervical hysterectomy refers to removal of the uterus while the cervix is spared. These procedures may also involve removal of the ovaries (oophorectomy), fallopian tubes (salpingectomy), and other surrounding structures. The term “partial” or “total” hysterectomy are lay-terms that incorrectly describe the addition or omission of oophorectomy at the time of hysterectomy. These procedures are usually performed by a gynecologist. Removal of the uterus renders the patient unable to bear children and has surgical risks as well as long-term effects, so the surgery is normally recommended only when other treatment options are not available or have failed. It is the second most commonly performed gynecological surgical procedure, after cesarean section, in the United States. Nearly 68 percent were performed for conditions such as endometriosis, irregular bleeding, and uterine fibroids. It is expected that the frequency of hysterectomies for non-malignant indications will continue to fall given the development of alternative treatment options."
folate deficiency,"Folate deficiency, also known as vitamin B9 deficiency, is a low level of folate and derivatives in the body. This may result in megaloblastic anemia in which red blood cells become abnormally large, and folate deficiency anemia is the term given for this medical condition. Signs of folate deficiency are often subtle. Symptoms may include fatigue, heart palpitations, shortness of breath, feeling faint, open sores on the tongue, loss of appetite, changes in the color of the skin or hair, irritability, and behavioral changes. Temporary reversible infertility may occur. Folate deficiency anemia during pregnancy may give rise to the birth of low weight birth premature infants and infants with neural tube defects."
fluid overload,"Hypervolemia, also known as fluid overload, is the medical condition where there is too much fluid in the blood. The opposite condition is hypovolemia, which is too little fluid volume in the blood. Fluid volume excess in the intravascular compartment occurs due to an increase in total body sodium content and a consequent increase in extracellular body water. The mechanism usually stems from compromised regulatory mechanisms for sodium handling as seen in congestive heart failure (CHF), kidney failure, and liver failure. It may also be caused by excessive intake of sodium from foods, intravenous (IV) solutions and blood transfusions, medications, or diagnostic contrast dyes. Treatment typically includes administration of diuretics and limit the intake of water, fluids, sodium, and salt."
atrial flutter,"Atrial flutter (AFL) is a common abnormal heart rhythm that starts in the atrial chambers of the heart. When it first occurs, it is usually associated with a fast heart rate and is classified as a type of supraventricular tachycardia (SVT). Atrial flutter is characterized by a sudden-onset (usually) regular abnormal heart rhythm on an electrocardiogram (ECG) in which the heart rate is fast. Symptoms may include a feeling of the heart beating too fast, too hard, or skipping beats, chest discomfort, difficulty breathing, a feeling as if one's stomach has dropped, a feeling of being light-headed, or loss of consciousness."
skin disorder,"A skin condition, also known as cutaneous condition, is any medical condition that affects the integumentary system—the organ system that encloses the body and includes skin, nails, and related muscle and glands. The major function of this system is as a barrier against the external environment."
floaters,"Floaters or eye floaters are sometimes visible deposits within the eye's vitreous humour, which is normally transparent, or between the vitreous and retina. 
They can become particularly noticeable when looking at a blank surface or an open monochromatic space, such as blue sky.
Each floater can be measured by its size, shape, consistency, refractive index, and motility. They are also called muscae volitantes, or mouches volantes. The vitreous usually starts out transparent, but imperfections may gradually develop as one ages. The common type of floater, present in most people's eyes, is due to these degenerative changes of the vitreous. The perception of floaters, which may be annoying or problematic to some people, is known as myodesopsia, or, less commonly, as myodaeopsia, myiodeopsia, or myiodesopsia. It is not often treated, except in severe cases, where vitrectomy (surgery), laser vitreolysis, and medication may be effective."
tooth disorder,"Tooth pathology is any condition of the teeth that can be congenital or acquired. Sometimes a congenital tooth disease is called a tooth abnormality. These are among the most common diseases in humans The prevention, diagnosis, treatment and rehabilitation of these diseases are the base to the dentistry profession, in which are dentists and dental hygienists, and its sub-specialties, such as oral medicine, oral and maxillofacial surgery, and endodontics. Tooth pathology is usually separated from other types of dental issues, including enamel hypoplasia and tooth wear."
heart attack,"A myocardial infarction (MI), commonly known as a heart attack, occurs when blood flow decreases or stops in one of the coronary arteries of the heart, causing infarction to the heart muscle. The most common symptom is retrosternal chest pain or discomfort that classically radiates to the left shoulder, arm, or jaw. The pain may occasionally feel like heartburn. This is the dangerous type of acute coronary syndrome."
open wound of the abdomen,"A Bogota bag is a sterile plastic bag used for closure of abdominal wounds. It is generally a sterilized 3-liter genitourinary irrigation bag that is sewn to the skin or fascia of the anterior abdominal wall. Its use was first described by Oswaldo Borraez while he was a resident in Bogotá, Colombia."
fracture of the leg,"The leg is the entire lower limb of the human body, including the foot, thigh or sometimes even the hip or buttock region. The major bones of the leg are the femur, tibia, and adjacent fibula. There are 60 bones in each leg."
oral thrush (yeast infection),"Oral candidiasis (Acute pseudomembranous candidiasis), which is also known as oral thrush, among other names, is candidiasis that occurs in the mouth. That is, oral candidiasis is a mycosis (yeast/fungal infection) of Candida species on the mucous membranes of the mouth."
pityriasis rosea,"Pityriasis rosea is a type of skin rash. Classically, it begins with a single red and slightly scaly area known as a ""herald patch"". This is then followed, days to weeks later, by an eruption of many smaller scaly spots; pinkish with a red edge in people with light skin and greyish in darker skin. About 20% of cases show atypical deviations from this pattern. It usually lasts less than three months and goes away without treatment. Sometimes malaise or a fever may occur before the start of the rash or itchiness, but often there are few other symptoms."
allergy to animals,"In medicine, animal allergy is hypersensitivity to certain substances produced by animals, such as the proteins in animal hair and saliva. It is a common type of allergy."
orthostatic hypotension,"Orthostatic hypotension, also known as postural hypotension, is a medical condition wherein a person's blood pressure drops when they are standing up (orthostasis) or sitting down. Primary orthostatic hypotension is also often referred to as neurogenic orthostatic hypotension. The drop in blood pressure may be sudden, within 3 minutes or gradual. It is defined as a fall in systolic blood pressure of at least 20 mmHg or diastolic blood pressure of at least 10 mmHg after 3 minutes of standing. It occurs predominantly by delayed constriction of the lower body blood vessels, which is normally required to maintain adequate blood pressure when changing the position to standing. As a result, blood pools in the blood vessels of the legs for a longer period, and less is returned to the heart, thereby leading to a reduced cardiac output and inadequate blood flow to the brain."
obstructive sleep apnea (osa),"Obstructive sleep apnea (OSA) is the most common sleep-related breathing disorder and is characterized by recurrent episodes of complete or partial obstruction of the upper airway leading to reduced or absent breathing during sleep. These episodes are termed ""apneas"" with complete or near-complete cessation of breathing, or ""hypopneas"" when the reduction in breathing is partial. In either case, a fall in blood oxygen saturation, a disruption in sleep, or both, may result. A high frequency of apneas or hypopneas during sleep may interfere with the quality of sleep, which – in combination with disturbances in blood oxygenation – is thought to contribute to negative consequences to health and quality of life. The terms obstructive sleep apnea syndrome (OSAS) or obstructive sleep apnea–hypopnea syndrome (OSAHS) may be used to refer to OSA when it is associated with symptoms during the daytime."
hypokalemia,"Hypokalemia is a low level of potassium (K+) in the blood serum. Mild low potassium does not typically cause symptoms. Symptoms may include feeling tired, leg cramps, weakness, and constipation. Low potassium also increases the risk of an abnormal heart rhythm, which is often too slow and can cause cardiac arrest."
psoriasis,"Psoriasis is a long-lasting, noncontagious autoimmune disease characterized by patches of abnormal skin. These areas are red, pink, or purple, dry, itchy, and scaly. Psoriasis varies in severity from small localized patches to complete body coverage. Injury to the skin can trigger psoriatic skin changes at that spot, which is known as the Koebner phenomenon."
dislocation of the shoulder,"A dislocated shoulder is a condition in which the head of the humerus is detached from the glenoid fossa. Symptoms include shoulder pain and instability. Complications may include a Bankart lesion, Hill-Sachs lesion, rotator cuff tear, or injury to the axillary nerve."
intussusception,"A rectal prolapse occurs when walls of the rectum have prolapsed to such a degree that they protrude out of the anus and are visible outside the body. However, most researchers agree that there are 3 to 5 different types of rectal prolapse, depending on whether the prolapsed section is visible externally, and whether the full or only partial thickness of the rectal wall is involved."
cervicitis,"Cervicitis is inflammation of the uterine cervix. Cervicitis in women has many features in common with urethritis in men and many cases are caused by sexually transmitted infections. Non-infectious causes of cervicitis can include intrauterine devices, contraceptive diaphragms, and allergic reactions to spermicides or latex condoms.
Cervicitis affects over half of all women during their adult life."
abscess of the pharynx,"A peritonsillar abscess (PTA), also known as a quinsy, is an accumulation of pus due to an infection behind the tonsil. Symptoms include fever, throat pain, trouble opening the mouth, and a change to the voice. Pain is usually worse on one side. Complications may include blockage of the airway or aspiration pneumonitis."
primary thrombocythemia,"In hematology, thrombocythemia is a condition of high platelet (thrombocyte) count in the blood. Normal count is in the range of 150×109 to 450×109 platelets per liter of blood, but investigation is typically only considered if the upper limit exceeds 750×109/L."
arthritis of the hip,"In dogs, hip dysplasia is an abnormal formation of the hip socket that, in its more severe form, can eventually cause lameness and arthritis of the joints. It is a genetic (polygenic) trait that is affected by environmental factors. It is common in many dog breeds, particularly the larger breeds, and is the most common single cause of arthritis of the hips."
decubitus ulcer,"Pressure ulcers, also known as pressure sores, bed sores or pressure injuries, are localised damage to the skin and/or underlying tissue that usually occur over a bony prominence as a result of usually long-term pressure, or pressure in combination with shear or friction. The most common sites are the skin overlying the sacrum, coccyx, heels, and hips, though other sites can be affected, such as the elbows, knees, ankles, back of shoulders, or the back of the cranium."
hypernatremia,"Hypernatremia, also spelled hypernatraemia, is a high concentration of sodium in the blood. Early symptoms may include a strong feeling of thirst, weakness, nausea, and loss of appetite. Severe symptoms include confusion, muscle twitching, and bleeding in or around the brain. Normal serum sodium levels are 135–145 mmol/L. Hypernatremia is generally defined as a serum sodium level of more than 145 mmol/L. Severe symptoms typically only occur when levels are above 160 mmol/L."
sensorineural hearing loss,"Sensorineural hearing loss (SNHL) is a type of hearing loss in which the root cause lies in the inner ear, sensory organ, or the vestibulocochlear nerve. SNHL accounts for about 90% of reported hearing loss. SNHL is usually permanent and can be mild, moderate, severe, profound, or total. Various other descriptors can be used depending on the shape of the audiogram, such as high frequency, low frequency, U-shaped, notched, peaked, or flat."
chronic ulcer,"An ulcer is a discontinuity or break in a bodily membrane that impedes normal function of the affected organ. According to Robbins's pathology, ""ulcer is the breach of the continuity of skin, epithelium or mucous membrane caused by sloughing out of inflamed necrotic tissue."" Common forms of ulcers recognized in medicine include:Ulcer (dermatology), a discontinuity of the skin or a break in the skin.
Pressure ulcers, also known as bedsores
Genital ulcer, an ulcer located on the genital area
Ulcerative dermatitis, a skin disorder associated with bacterial growth often initiated by self-trauma
Anal fissure, an ulcer or tear near the anus or within the rectum
Diabetic foot ulcer, a major complication of the diabetic foot
Callous ulcer, a chronic nonhealing ulcer with hard indurated base and inelastic margins
Corneal ulcer, an inflammatory or infective condition of the cornea
Mouth ulcer, an open sore inside the mouth.
Aphthous ulcer, a specific type of oral ulcer also known as a canker sore
Peptic ulcer, a discontinuity of the gastrointestinal mucosa 
Venous ulcer, a wound thought to occur due to improper functioning of valves in the veins
Stress ulcer, an ulcer located within the stomach and proximal duodenum
Ulcerative sarcoidosis, a cutaneous condition affecting people with sarcoidosis
Ulcerative lichen planus, a rare variant of lichen planus
Ulcerative colitis, a form of inflammatory bowel disease (IBD).
Ulcerative disposition, a disorder or discomfort that causes severe abdominal distress, often associated with chronic gastritis"
osteoporosis,"Osteoporosis is a systemic skeletal disorder characterized by low bone mass, micro-architectural deterioration of bone tissue leading to more porous bone, and consequent increase in fracture risk."
ileus,"Ileus is a disruption of the normal propulsive ability of the intestine. It can be caused by lack of peristalsis or by mechanical obstruction.
The word 'ileus' derives from Ancient Greek  εἰλεός (eileós) 'intestinal obstruction'. The term 'subileus' refers to a partial obstruction."
sickle cell crisis,"Sickle cell disease (SCD), also simply called sickle cell, is a group of hemoglobin-related blood disorders that are typically inherited. The most common type is known as sickle cell anemia. Sickle cell anemia results in an abnormality in the oxygen-carrying protein haemoglobin found in red blood cells. This leads to the red blood cells adopting an abnormal sickle-like shape under certain circumstances; with this shape, they are unable to deform as they pass through capillaries, causing blockages. Problems in sickle cell disease typically begin around 5 to 6 months of age. A number of health problems may develop, such as attacks of pain in joints, anemia, swelling in the hands and feet, bacterial infections, dizziness and stroke. The probability of severe symptoms, including long-term pain, increases with age. Without treatment, people with SCD rarely reach adulthood but with good healthcare, median life expectancy is between 58 and 66 years. All of the major organs are affected by sickle cell disease. The liver, heart, kidneys, gallbladder, eyes, bones, and joints can be damaged from the abnormal functions of the sickle cells and their inability to effectively flow through the small blood vessels."
urethritis,"Urethritis is the inflammation of the urethra. The most common symptoms include painful or difficult urination and urethral discharge. It is a commonly treatable condition usually caused by infection with bacteria. This bacterial infection is often sexually transmitted, but not in every instance; it can be idiopathic, for example. Some incidence of urethritis can appear asymptomatic as well."
prostatitis,"Prostatitis is an umbrella term for a variety of medical conditions that incorporate bacterial and non-bacterial origin illnesses in the pelvic region. In contrast with the plain meaning of the word, the diagnosis may not always include inflammation. Prostatitis is classified into acute, chronic, asymptomatic inflammatory prostatitis, and chronic pelvic pain syndrome."
otitis externa (swimmer's ear),"Otitis externa, also called swimmer's ear, is inflammation of the ear canal. It often presents with ear pain, swelling of the ear canal, and occasionally decreased hearing. Typically there is pain with movement of the outer ear. A high fever is typically not present except in severe cases."
poisoning due to anticonvulsants,"Barbiturate overdose is poisoning due to excessive doses of barbiturates. Symptoms typically include difficulty thinking, poor coordination, decreased level of consciousness, and a decreased effort to breathe. Complications of overdose can include noncardiogenic pulmonary edema. If death occurs this is typically due to a lack of breathing."
testicular torsion,"Testicular torsion occurs when the spermatic cord twists, cutting off the blood supply to the testicle. The most common symptom in children is sudden, severe testicular pain. The testicle may be higher than usual in the scrotum and vomiting may occur. In newborns, pain is often absent and instead the scrotum may become discolored or the testicle may disappear from its usual place."
tricuspid valve disease,"The tricuspid valve, or right atrioventricular valve, is on the right dorsal side of the mammalian heart, at the superior portion of the right ventricle. The function of the valve is to allow blood to flow from the right atrium to the right ventricle during diastole, and to close to prevent backflow (regurgitation) from the right ventricle into the right atrium during right ventricular contraction (systole)."
urethral stricture,"A urethral stricture is a narrowing of the urethra, the tube connected to the bladder that allows urination. The narrowing reduces the flow of urine and makes it more difficult or even painful to empty the bladder."
vitamin d deficiency,"Vitamin D deficiency or hypovitaminosis D is a vitamin D level that is below normal. It most commonly occurs in people when they have inadequate exposure to sunlight, particularly sunlight with adequate ultraviolet B rays (UVB). Vitamin D deficiency can also be caused by inadequate nutritional intake of vitamin D; disorders that limit vitamin D absorption; and disorders that impair the conversion of vitamin D to active metabolites, including certain liver, kidney, and hereditary disorders. Deficiency impairs bone mineralization, leading to bone-softening diseases, such as rickets in children. It can also worsen osteomalacia and osteoporosis in adults, increasing the risk of bone fractures. Muscle weakness is also a common symptom of vitamin D deficiency, further increasing the risk of falls and bone fractures in adults. Vitamin D deficiency is associated with the development of schizophrenia."
hydatidiform mole,"A molar pregnancy, also known as a hydatidiform mole, is an abnormal form of pregnancy in which a non-viable fertilized egg implants in the uterus. It falls under the category of gestational trophoblastic diseases. During a molar pregnancy, the uterus contains a growing mass characterized by swollen chorionic villi, resembling clusters of grapes. The occurrence of a molar pregnancy can be attributed to the fertilized egg lacking an original maternal nucleus. As a result, the products of conception may or may not contain fetal tissue. These molar pregnancies are categorized into two types: partial moles and complete moles, where the term 'mole' simply denotes a clump of growing tissue or a ‘growth'."
pain disorder affecting the neck,"Rheumatism or rheumatic disorders are conditions causing chronic, often intermittent pain affecting the joints or connective tissue. Rheumatism does not designate any specific disorder, but covers at least 200 different conditions, including arthritis and ""non-articular rheumatism"", also known as ""regional pain syndrome"" or ""soft tissue rheumatism"". There is a close overlap between the term soft tissue disorder and rheumatism. Sometimes the term ""soft tissue rheumatic disorders"" is used to describe these conditions."
tuberculosis,"Tuberculosis (TB), also known colloquially as the ""white death"", or historically as consumption, is a contagious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but it can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis. Around 10% of latent infections progress to active disease that, if left untreated, kill about half of those affected. Typical symptoms of active TB are chronic cough with blood-containing mucus, fever, night sweats, and weight loss. Infection of other organs can cause a wide range of symptoms."
pelvic fistula,"The pelvic floor or pelvic diaphragm is an anatomical location in the human body, which has an important role in urinary and anal continence, sexual function and support of the pelvic organs. The pelvic floor includes muscles, both skeletal and smooth, ligaments and fascia. and separates between the pelvic cavity from above, and the perineum from below. It is formed by the levator ani muscle and coccygeus muscle, and associated connective tissue."
acute bronchiolitis,"Bronchiolitis is inflammation of the small airways also known as the bronchioles in the lungs. Acute bronchiolitis is caused by a viral infection, usually affecting children younger than two years of age. Symptoms may include fever, cough, runny nose or rhinorrhea, and wheezing. More severe cases may be associated with nasal flaring, grunting, or respiratory distress. If the child has not been able to feed properly due to the illness, signs of dehydration may be present."
presbyopia,"Presbyopia is a physiological insufficiency of optical accommodation associated with the aging of the eye; it results in progressively worsening ability to focus clearly on close objects. Also known as age-related farsightedness, it affects many adults over the age of 40. A common sign of presbyopia is difficulty in reading small print, which results in having to hold reading material farther away. Other symptoms associated can be headaches and eyestrain. Different people experience different degrees of problems. Other types of refractive errors may exist at the same time as presbyopia. This condition is similar to hypermetropia or far-sightedness, which starts in childhood and exhibits similar symptoms of blur in the vision for close objects."
dementia,"Dementia is a syndrome associated with many neurodegenerative diseases, characterized by a general decline in cognitive abilities that affects a person's ability to perform everyday activities. This typically involves problems with memory, thinking, behavior, and motor control. Aside from memory impairment and a disruption in thought patterns, the most common symptoms of dementia include emotional problems, difficulties with language, and decreased motivation. The symptoms may be described as occurring in a continuum over several stages. Dementia ultimately has a significant effect on the individual, their caregivers, and their social relationships in general. A diagnosis of dementia requires the observation of a change from a person's usual mental functioning and a greater cognitive decline than might be caused by the normal aging process."
